partNumber,depth,height,length,weight
"M31006P,M31006P,024052886887","80","16","39","2"
"M51631,M51631,024052889727","79.5","14","60","79"
"M51641,M51641,024052889734","79.5","14","76","100.1"
"M52110,M52110,024052855685","28","12","20","22.8"
"M52111,M52111,024052855692","20","6","28","13.6"
"M52112,M52112,024052855708","26","8","20","24"
"M52113,M52113,024052855715","17","5","28","21"
"M52114,M52114,024052855722","17","6","28","21"
"M52611,M52611,024052834741","74","11","37","49"
"M52621,M52621,024052834758","74","11","52","65"
"M52631,M52631,024052834765","79","11","59","79"
"M52641,M52641,024052834772","79","11","75","98"
"M52651,M52651,024052834789","83","11","71","99"
"M52671,M52671,024052835151","79","11","37","55"
"M61111,M61111,024052503401","74","13.5","37","61.08"
"M61121,M61121,024052503418","74","13.5","52","80.83"
"M61131,M61131,024052503425","79","13.5","59","94.57"
"M61141,M61141,024052503432","79","13.5","75","116.91"
"M61211,M61211,024052503456","74","14","37","60.31"
"M61221,M61221,024052503463","74","14","52","80.61"
"M61231,M61231,024052503470","79","14","59","93.99"
"M61241,M61241,024052503487","79","14","75","117.15"
"M62831,M62831,024052558463","79","12","59","108.047"
"M62841,M62841,024052558470","79","12","75","135.407"
"M62851,M62851,024052558487","83","12","71","137.347"
"M62931,M62931,024052558494","79","14","59","120.68"
"M62941,M62941,024052558500","79","14","75","148.48"
"M62951,M62951,024052558517","83","14","71","152.757"
"M69511,M69511,024052459074","74.41","8","37.99","37.35"
"M69521,M69521,024052459081","74.41","8","53.15","45"
"M69531,M69531,024052459098","79.53","8","59.84","62.03"
"M69541,M69541,024052459104","79.53","8","75.98","77.22"
"M69611,M69611,024052459142","74.41","10","37.99","43"
"M69621,M69621,024052459159","74.41","10","53.15","57"
"M69631,M69631,024052459166","79.53","10","59.84","68"
"M69641,M69641,024052459173","79.53","10","75.98","85"
"M69651,M69651,024052459333","83.46","10","72.05","86"
"M69711,M69711,024052459180","74.41","12","37.99","46"
"M69721,M69721,024052459197","74.41","12","53.15","62"
"M69731,M69731,024052459203","79.53","12","59.84","76"
"M69741,M69741,024052459210","79.53","12","75.98","94"
"M69751,M69751,024052459340","83.46","12","72.05","95"
"M71671,M71671,024052656282","79","12","37","39.5"
"M71831,M71831,024052503371","79","13","59","65"
"M71851,M71851,024052503395","83","13","71","81.9"
"M74X12,M74X12,024052906950","74","9","37.5","35"
